"center_id","url"
111,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41243;search_require_client_code-2106=1;search_require_client_code-2101=1"
111,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41243;search_require_client_code-2106=1;search_require_client_code-2101=1"
156,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=25142;search_require_client_code-2106=1;search_require_client_code-2101=1"
166,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=38295;search_require_client_code-2106=1;search_require_client_code-2101=1"
171,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9204;search_require_client_code-2106=1;search_require_client_code-2101=1"
180,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16605;search_require_client_code-2106=1;search_require_client_code-2101=1"
332,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40046;search_require_client_code-2106=1;search_require_client_code-2101=1"
382,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17565;search_require_client_code-2106=1;search_require_client_code-2101=1"
435,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8991;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
439,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17537;search_require_client_code-2106=1;search_require_client_code-2101=1"
494,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40661;search_require_client_code-2106=1;search_require_client_code-2101=1"
582,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8383;search_require_client_code-2106=1;search_require_client_code-2101=1"
684,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9947;search_require_client_code-2106=1;search_require_client_code-2101=1"
718,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40010;search_require_client_code-2106=1;search_require_client_code-2101=1"
815,"http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39926;search_require_client_code-2106=1;search_require_client_code-2101=1"
